SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
523722,SVAM SOFTWAR,XT,Q,0.78,0.78,0.78,0.78,0.78,0.78,1,100,78.00,
523724,VIJAY SHA.BU,B ,Q,25.80,25.80,24.20,24.25,24.25,25.25,151,24171,603727.00,
523736,DPL         ,B ,Q,172.70,172.70,172.70,172.70,172.70,164.50,259,54362,9388317.00,
523754,EPC INDUS.  ,X ,Q,165.30,168.85,159.85,160.90,160.90,166.00,470,55293,8972912.00,
523756,SREIINFRA   ,A ,Q,84.10,84.90,80.30,81.00,80.90,83.70,766,111441,9152102.00,
523768,GUJ.BOROSIL ,X ,Q,112.25,113.85,108.10,109.15,109.15,112.25,184,17541,1941663.00,
523792,MAZDA LTD   ,B ,Q,379.70,385.20,372.10,376.35,376.35,376.95,53,931,348767.00,
523796,VICEROY HOTE,B ,Q,16.00,16.25,15.60,15.75,15.85,15.90,155,43411,690497.00,
523826,SOVEREIGN DI,X ,Q,13.00,13.00,13.00,13.00,13.00,13.13,1,269271,3500523.00,
523828,MENON BEAR. ,B ,Q,108.35,109.50,103.75,104.00,103.75,106.90,84,5618,592618.00,
523836,GUJ.RAFFIA  ,T ,Q,62.10,62.10,62.10,62.10,62.10,65.35,4,525,32602.00,
523838,SIMPLX INFRA,B ,Q,580.50,583.95,565.50,579.95,579.00,580.10,49,481,275555.00,
523840,INN.TECH.PAC,X ,Q,81.80,81.80,76.10,79.25,79.25,81.25,195,45899,3587342.00,
523842,SUPER TANNER,SS,Q,7.40,7.65,7.32,7.32,7.32,7.70,48,34615,254120.00,
523844,INVICTA MED ,XT,Q,3.79,3.79,3.79,3.79,3.79,3.61,5,2050,7769.00,
523850,AXTEL INDUS.,X ,Q,115.00,115.00,101.00,102.30,102.30,107.45,89,12330,1293466.00,
523874,PRECI CONTNR,X ,Q,0.35,0.35,0.35,0.35,0.35,0.34,4,542,189.00,
523890,DS.KULKARNI ,T ,Q,17.00,18.15,17.00,17.35,17.35,17.75,29,5148,89547.00,
524000,MAGMA FIN   ,B ,Q,166.00,167.75,164.90,166.20,166.80,168.70,162,5733,956112.00,
524019,KINGFA      ,T ,Q,1060.00,1061.75,1009.15,1012.35,1012.35,1062.25,118,2358,2440427.00,
524031,PATIDAR     ,X ,Q,8.17,8.17,8.17,8.17,8.17,8.60,4,206,1683.00,
524037,RAMA PHOSPH ,X ,Q,91.95,94.50,89.60,90.50,90.50,92.90,62,15989,1466281.00,
524038,VENLON ENTR ,X ,Q,3.80,3.80,3.51,3.65,3.75,3.81,8,942,3420.00,
524051,POLYPLEX    ,B ,Q,493.00,495.95,482.80,486.95,493.25,493.90,61,1634,796617.00,
524075,ALBERT DAVID,T ,Q,393.00,394.70,381.00,381.75,381.00,396.15,15,361,138841.00,
524080,HAR.LEATHER ,XT,Q,44.60,47.60,44.60,47.10,47.10,45.35,14,686,32297.00,
524084,MONSANTO (I),A ,Q,2504.00,2517.80,2485.00,2488.70,2490.00,2501.20,196,498,1243334.00,
524091,ACRYCIL LTD.,X ,Q,560.00,565.00,551.00,551.00,551.00,550.85,21,826,458647.00,
524109,KABRA EXTR  ,B ,Q,131.50,131.85,127.00,128.25,127.60,130.80,164,14530,1877482.00,
524129,VINYL CHEM  ,B ,Q,117.50,117.50,110.40,112.45,113.40,116.70,314,26845,3040940.00,
524136,PEE CEE COSM,X ,Q,165.10,165.10,165.10,165.10,165.10,157.25,10,1140,188214.00,
524164,IOL CHEM PH ,B ,Q,86.50,87.90,81.85,82.05,82.30,86.15,481,71653,5960356.00,
524174,KESAR PETRO ,X ,Q,50.00,50.90,45.50,46.35,46.35,49.10,1532,509126,23854771.00,
524200,VINATI ORG. ,B ,Q,857.05,857.05,830.35,832.85,830.35,853.20,93,924,773892.00,
524202,LACTOSE(I)  ,XT,Q,126.10,130.00,121.85,127.30,127.00,128.25,44,3337,420607.00,
524204,TEESTA AGRO ,XT,Q,40.00,40.00,40.00,40.00,40.00,40.05,1,100,4000.00,
524208,AARTI INDUST,B ,Q,1178.00,1178.00,1160.00,1165.55,1171.00,1179.85,260,2597,3033975.00,
524210,PENTOKEY ORG,XT,Q,18.75,18.75,18.75,18.75,18.75,19.70,1,300,5625.00,
524212,WANBURY LTD ,T ,Q,40.00,40.00,39.25,39.25,39.25,40.15,27,4555,180562.00,
